City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kamenka,51.3223,42.7678,5.67,97,74,6.04,RU,1644811365
chuy,-33.6971,-53.4616,58.28,64,5,9.42,UY,1644811366
georgetown,5.4112,100.3354,87.73,70,20,4.61,MY,1644811248
pizarro,4.9533,-77.366,75.4,92,95,5.37,CO,1644811366
vanimo,-2.6741,141.3028,82.76,79,100,2.64,PG,1644811366
mar del plata,-38.0023,-57.5575,60.87,78,0,1.01,AR,1644811367
saldanha,-33.0117,17.9442,63.79,88,0,12.44,ZA,1644811367
half moon bay,37.4636,-122.4286,65.97,72,0,13.8,US,1644811252
chaozhou,23.6651,116.6379,66.22,61,49,2.68,CN,1644811367
mehamn,71.0357,27.8492,17.55,86,75,16.11,NO,1644811367
leshukonskoye,64.8989,45.7622,7.63,88,95,8.28,RU,1644811368
garowe,8.4054,48.4845,64.87,80,80,8.43,SO,1644811368
dolzhanskaya,46.6311,37.8039,35.62,64,0,13.4,RU,1644811368
barrow,71.2906,-156.7887,-29.18,68,0,8.05,US,1644811328
tarko-sale,64.9225,77.785,-9.36,97,35,11.1,RU,1644811093
kenai,60.5544,-151.2583,20.95,98,72,2.86,US,1644811369
eyl,7.9803,49.8164,72.52,72,57,11.16,SO,1644811369
grand-lahou,5.1367,-5.0242,78.26,86,55,6.69,CI,1644811369
dingle,10.9995,122.6711,85.59,64,100,11.43,PH,1644811369
bunia,1.5667,30.25,65.86,56,74,2.73,CD,1644811221
cabo san lucas,22.8909,-109.9124,74.52,47,71,6.6,MX,1644810886
ewa beach,21.3156,-158.0072,74.01,61,4,13.4,US,1644811278
puerto narino,-3.7703,-70.3831,72.54,99,100,1.57,CO,1644811370
kuytun,54.3419,101.5036,-11.4,96,100,7.05,RU,1644811370
touros,-5.1989,-35.4608,79.34,78,6,10.6,BR,1644811370
labrea,-7.2586,-64.7981,73.29,98,100,2.51,BR,1644811371
abaza,52.655,90.0928,16.38,79,99,0.29,RU,1644811371
tera,14.0078,0.7531,71.53,12,4,11.12,NE,1644811371
tuktoyaktuk,69.4541,-133.0374,-34.35,100,71,7.61,CA,1644811372
iwanai,42.9744,140.5089,32.72,71,76,5.5,JP,1644811372
atyrau,47.1167,51.8833,26.62,86,6,11.18,KZ,1644811372
sinnamary,5.3833,-52.95,75.9,90,93,9.22,GF,1644811372
nacogdoches,31.6002,-94.6335,41.79,78,0,0.0,US,1644811373
payo,-3.7508,103.6372,89.13,56,81,2.26,ID,1644811373
hami,42.8,93.45,28.87,39,17,7.61,CN,1644811163
talcahuano,-36.7167,-73.1167,59.99,82,100,5.86,CL,1644811373
esperance,-33.8667,121.9,73.42,57,68,13.27,AU,1644811374
nador,35.174,-2.9287,53.85,62,0,2.3,MA,1644811374
diapaga,12.0708,1.7889,72.81,13,4,6.51,BF,1644811374
puerto quijarro,-17.7833,-57.7667,75.56,79,83,1.59,BO,1644811374
juneau,58.3019,-134.4197,33.84,95,100,0.0,US,1644811210
ribeira grande,38.5167,-28.7,57.88,68,90,2.91,PT,1644811375
bambous virieux,-20.3428,57.7575,82.22,86,100,13.47,MU,1644811375
archidona,37.0965,-4.3887,48.67,84,87,2.01,ES,1644811435
belaya gora,68.5333,146.4167,-17.18,91,90,4.59,RU,1644811436
bud,39.447,-86.1758,18.18,81,68,6.87,US,1644811436
pecos,31.4229,-103.4932,53.31,24,0,5.75,US,1644811436
murgab,37.4966,61.9714,43.77,59,93,9.93,TM,1644811436
los llanos de aridane,28.6585,-17.9182,60.55,77,75,6.91,ES,1644811437
la ronge,55.1001,-105.2842,-12.32,94,17,4.47,CA,1644811252
pacific grove,36.6177,-121.9166,63.61,93,100,1.01,US,1644811437
zykovo,55.9519,93.1461,-8.01,89,21,4.43,RU,1644811437
porto velho,-8.7619,-63.9039,73.45,94,0,2.3,BR,1644811438
shwebo,22.5667,95.7,75.85,31,0,2.77,MM,1644811438
varkaus,62.3153,27.873,33.91,96,100,9.19,FI,1644811438
zhigansk,66.7697,123.3711,-26.21,96,74,1.45,RU,1644811438
lagoa,39.05,-27.9833,56.44,59,86,2.42,PT,1644811439
alyangula,-13.8483,136.4192,87.12,61,8,13.04,AU,1644811439
cayenne,4.9333,-52.3333,77.09,90,100,5.99,GF,1644811439
lardos,36.0942,28.0157,55.22,71,63,15.32,GR,1644811440
mindyak,54.0231,58.7891,3.81,96,81,5.64,RU,1644811440
japura,-0.3167,102.35,89.46,60,72,0.87,ID,1644811440
zhezkazgan,47.8043,67.7144,30.18,100,100,26.84,KZ,1644811308
gat,31.61,34.7642,54.39,100,99,4.92,IL,1644811440
kieta,-6.2167,155.6333,83.55,72,99,4.54,PG,1644811227
coihaique,-45.5752,-72.0662,52.02,90,91,0.98,CL,1644811202
covington,39.0837,-84.5086,19.9,79,100,6.35,US,1644811264
lesogorsk,56.0458,99.5136,-5.84,89,48,5.93,RU,1644811441
georgiyevskoye,58.731,45.024,20.89,96,100,8.59,RU,1644811441
port elizabeth,-33.918,25.5701,66.49,100,75,4.61,ZA,1644811397
kalangala,-0.3089,32.225,73.02,69,79,8.39,UG,1644811442
cholet,47.1667,-1.0,45.93,95,92,11.14,FR,1644811442
baghdad,33.3406,44.4009,40.91,70,0,3.44,IQ,1644811388
blagodatnoye,45.3997,42.5867,23.92,72,3,6.49,RU,1644811442
aykhal,66.0,111.5,-3.59,62,25,0.58,RU,1644811443
ulaangom,49.9811,92.0667,-22.27,96,94,2.37,MN,1644811443
san patricio,28.017,-97.5169,55.24,46,96,7.43,US,1644811443
taltal,-25.4,-70.4833,67.51,79,3,1.63,CL,1644811095
havre-saint-pierre,50.2334,-63.5986,-5.46,87,4,7.7,CA,1644811444
bluff,-46.6,168.3333,59.2,63,100,6.8,NZ,1644811152
verkhnevilyuysk,63.4453,120.3167,-9.69,94,100,1.61,RU,1644811444
dudinka,69.4058,86.1778,-16.65,92,33,5.82,RU,1644811444
hilo,19.7297,-155.09,72.25,89,46,1.01,US,1644811444
labuhan,-6.8844,112.2051,79.18,84,95,4.52,ID,1644811383
barcelos,41.5388,-8.6151,51.94,88,29,3.0,PT,1644811445
moose factory,51.2585,-80.6094,-21.44,100,92,3.36,CA,1644811445
poronaysk,49.2167,143.1167,18.93,76,33,9.48,RU,1644811505
mount gambier,-37.8333,140.7667,75.81,50,13,10.36,AU,1644811333
alakurtti,66.9672,30.3491,21.63,97,100,1.68,RU,1644811506
caicedo,6.4051,-75.9826,65.17,97,100,0.31,CO,1644811506
haines junction,60.7522,-137.5108,1.17,100,80,2.8,CA,1644811506
bozdar,27.1828,68.636,57.27,23,1,9.75,PK,1644811507
nantong,32.0303,120.8747,49.19,54,4,5.95,CN,1644811507
bireun,5.203,96.7009,83.75,65,90,3.69,ID,1644811507
raudeberg,61.9875,5.1352,38.07,95,100,8.99,NO,1644811507
lorengau,-2.0226,147.2712,84.02,72,71,2.98,PG,1644811508
shenjiamen,29.9576,122.298,45.57,64,2,17.0,CN,1644811508
visby,57.6409,18.296,37.76,87,100,14.97,SE,1644811508
trincomalee,8.5711,81.2335,80.8,68,73,13.29,LK,1644811509
medvedevo,56.6339,47.804,16.32,98,100,4.88,RU,1644811509
hovd,48.0056,91.6419,-8.05,86,83,3.78,MN,1644811509
ofunato,39.0717,141.7167,39.9,45,22,2.3,JP,1644811510
bilma,18.6853,12.9164,61.52,16,0,6.82,NE,1644811510
valparaiso,-33.0393,-71.6273,66.47,79,0,4.61,CL,1644811510
goundi,9.3627,17.366,73.44,17,89,4.05,TD,1644811510
fort smith,35.3859,-94.3986,38.34,56,0,0.0,US,1644811511
orlik,52.5178,99.825,-10.07,87,68,1.72,RU,1644811511
burhaniye,39.5004,26.9727,46.26,65,75,13.8,TR,1644811511
kruisfontein,-34.0033,24.7314,64.63,86,100,13.22,ZA,1644811512
grindavik,63.8424,-22.4338,25.27,80,40,9.22,IS,1644811512
adrar,20.5022,-10.0711,58.77,26,98,10.76,MR,1644811512
severo-kurilsk,50.6789,156.125,26.67,69,78,16.75,RU,1644811512
nouadhibou,20.931,-17.0347,64.94,69,99,17.52,MR,1644811513
killarney,52.05,-9.5167,42.26,89,23,14.16,IE,1644811214
hay river,60.8156,-115.7999,-12.42,97,96,4.83,CA,1644811248
the valley,18.217,-63.0578,77.09,66,4,18.72,AI,1644811513
chake chake,-5.2459,39.7666,76.37,84,38,4.45,TZ,1644811514
nipawin,53.3668,-104.0009,5.04,92,100,5.75,CA,1644811514
lompoc,34.6391,-120.4579,62.56,97,100,4.61,US,1644811286
sungairaya,0.7,108.9,84.27,76,93,3.13,ID,1644811514
sao miguel do araguaia,-13.275,-50.1628,70.54,95,61,3.36,BR,1644811237
bengkulu,-3.8004,102.2655,84.92,63,78,5.06,ID,1644811515
hwange,-18.3693,26.5019,65.23,79,1,2.3,ZW,1644811515
guerrero negro,27.9769,-114.0611,67.15,45,5,7.2,MX,1644811515
george town,5.4112,100.3354,87.73,70,20,4.61,MY,1644811286
vysokogornyy,50.1167,139.15,17.51,71,98,2.17,RU,1644811515
baruun-urt,46.6806,113.2792,-7.1,82,35,3.6,MN,1644811516
victoria,22.2855,114.1577,69.04,68,29,5.99,HK,1644811472
salobrena,36.7428,-3.5872,56.75,70,68,9.44,ES,1644811516
kirakira,-10.4544,161.9205,81.45,80,100,4.14,SB,1644811516
kavaratti,10.5669,72.642,80.94,70,2,8.41,IN,1644811517
nhamunda,-2.1861,-56.7131,73.38,95,95,1.86,BR,1644811517
le port,-20.9373,55.2919,80.6,74,13,2.3,RE,1644811517
yei,4.095,30.6779,73.53,43,97,0.36,SS,1644811222
foumban,5.7291,10.9001,63.03,25,44,3.51,CM,1644811577
cidreira,-30.1811,-50.2056,68.67,86,20,6.46,BR,1644811578
joshimath,30.5667,79.5667,52.14,30,0,1.48,IN,1644811287
kalmunai,7.4167,81.8167,81.01,72,62,12.08,LK,1644811296
byron bay,-28.65,153.6167,74.71,84,65,13.2,AU,1644811353
aswan,24.0934,32.907,56.21,33,0,9.62,EG,1644811578
riohacha,11.5444,-72.9072,76.39,81,6,10.58,CO,1644811578
isla mujeres,21.2311,-86.731,68.16,75,34,20.65,MX,1644811579
derzhavinsk,51.1,66.3167,20.46,96,100,15.26,KZ,1644811579
harper,4.375,-7.7169,76.93,87,57,3.56,LR,1644811579
salekhard,66.53,66.6019,-18.9,100,100,2.66,RU,1644811580
ertil,51.8406,40.8056,11.03,91,52,7.58,RU,1644811580
sao filipe,14.8961,-24.4956,72.95,68,87,10.83,CV,1644811580
paamiut,61.994,-49.6678,8.96,88,100,17.11,GL,1644811580
kasempa,-13.4584,25.8338,60.44,95,59,2.15,ZM,1644811581
northam,51.0333,-4.2167,44.62,84,50,17.13,GB,1644811581
thinadhoo,0.5333,72.9333,81.72,73,50,8.23,MV,1644811305
constitucion,-35.3333,-72.4167,58.71,89,72,2.3,CL,1644811581
alofi,-19.0595,-169.9187,80.89,74,99,15.12,NU,1644811582
talnakh,69.4865,88.3972,-7.37,70,10,8.66,RU,1644811582
kaitangata,-46.2817,169.8464,59.94,74,99,7.29,NZ,1644811582
chokurdakh,70.6333,147.9167,-12.78,99,79,8.68,RU,1644811582
shar,49.5886,81.0453,17.55,85,98,15.68,KZ,1644811583
makakilo city,21.3469,-158.0858,75.56,54,0,12.66,US,1644811583
sorland,67.667,12.6934,30.27,62,99,29.97,NO,1644811583
vanavara,60.34,102.2797,-8.32,89,38,5.93,RU,1644811584
egvekinot,66.3167,-179.1667,-18.9,90,12,7.63,RU,1644811584
kuruman,-27.4524,23.4325,67.37,46,0,5.66,ZA,1644811584
boyuibe,-20.4167,-63.2833,62.31,88,89,2.71,BO,1644811584
san quintin,30.4833,-115.95,65.64,39,0,5.84,MX,1644811457
champerico,14.3,-91.9167,83.35,72,4,3.76,GT,1644811585
francofonte,37.2265,14.8806,47.28,91,100,1.52,IT,1644811585
vardo,70.3705,31.1107,17.8,79,100,13.89,NO,1644811526
puga,21.5833,-104.8167,69.15,32,100,0.87,MX,1644811585
artyom,40.4723,50.333,39.34,59,69,4.97,AZ,1644811586
omboue,-1.5746,9.2618,78.13,84,100,4.12,GA,1644811586
tessalit,20.1986,1.0114,57.49,26,32,9.82,ML,1644811331
evensk,61.95,159.2333,5.97,68,20,12.01,RU,1644811586
tirumullaivasal,11.2333,79.8333,80.29,68,68,10.6,IN,1644811587
souillac,-20.5167,57.5167,82.36,86,99,13.38,MU,1644811587
abu samrah,35.3029,37.1841,44.6,85,0,8.25,SY,1644811587
padang,-0.9492,100.3543,87.85,57,39,3.67,ID,1644811587
rawatsar,29.2833,74.3833,64.53,40,0,8.61,IN,1644811431
jalu,29.0331,21.5482,51.35,62,0,5.75,LY,1644811588
rumonge,-3.9736,29.4386,70.23,84,99,3.85,BI,1644811588
kalabo,-14.97,22.6814,64.06,95,33,3.0,ZM,1644811588
palora,-1.7,-77.9333,65.98,97,100,2.89,EC,1644811589
general pico,-35.6566,-63.7568,60.17,40,0,8.5,AR,1644811589
maniitsoq,65.4167,-52.9,1.4,87,100,3.15,GL,1644811649
agadez,19.75,10.25,57.07,18,0,4.21,NE,1644811649
la roda,39.2167,-2.15,47.93,88,82,18.75,ES,1644811650
husavik,66.0449,-17.3389,17.06,80,96,17.38,IS,1644811650
siaya,0.0612,34.2882,65.5,74,81,4.68,KE,1644811373
takoradi,4.8845,-1.7554,78.15,86,100,5.61,GH,1644811650
quatre cocos,-20.2078,57.7625,82.09,87,100,13.33,MU,1644811651
alasehir,38.3508,28.5172,40.98,96,100,2.51,TR,1644811651
pimenta bueno,-11.6725,-61.1936,71.11,98,100,0.72,BR,1644811651
bati,11.1833,40.0167,61.56,78,98,1.86,ET,1644811651
iroquois falls,48.7669,-80.6831,-18.27,98,32,3.24,CA,1644811652
bathsheba,13.2167,-59.5167,77.61,73,40,16.11,BB,1644811652
luderitz,-26.6481,15.1594,70.43,71,0,8.9,NA,1644811652
fortuna,40.5982,-124.1573,52.41,100,100,0.0,US,1644811648
vizinga,61.0749,50.1031,1.71,100,96,4.43,RU,1644811652
junction city,39.0286,-96.8314,32.86,52,0,6.91,US,1644811653
los alamos,35.8881,-106.307,40.78,51,0,1.01,US,1644811613
de aar,-30.6497,24.0123,70.02,58,78,12.86,ZA,1644811653
nelson bay,-32.7167,152.15,83.28,55,70,4.0,AU,1644811653
leningradskiy,69.3833,178.4167,-17.97,90,79,6.2,RU,1644811654
pitimbu,-7.4706,-34.8086,81.19,77,41,8.59,BR,1644811654
maragogi,-9.0122,-35.2225,78.82,76,48,8.23,BR,1644811654
atar,20.5169,-13.0499,64.31,21,99,8.37,MR,1644811654
genhe,50.7833,121.5167,2.86,77,100,2.44,CN,1644811655
krasnoselkup,65.7,82.4667,-2.79,92,51,15.14,RU,1644811655
muroto,33.2833,134.15,50.72,56,100,12.8,JP,1644811655
magdagachi,53.45,125.8,10.06,79,100,3.58,RU,1644811656
ilulissat,69.2167,-51.1,5.02,78,75,12.66,GL,1644811656
huadian,42.9633,126.7478,14.77,90,100,6.89,CN,1644811656
saint-georges,12.0564,-61.7485,77.4,68,35,14.79,GD,1644811377
saint george,37.1041,-113.5841,60.35,24,0,3.44,US,1644811601
muscatine,41.4667,-91.1335,12.11,56,100,0.0,US,1644811657
qasigiannguit,68.8193,-51.1922,5.25,95,100,6.38,GL,1644811572
ust-koksa,50.2696,85.6108,14.49,89,100,2.01,RU,1644811657
ostrovnoy,68.0531,39.5131,20.77,85,100,26.62,RU,1644811657
rawson,-43.3002,-65.1023,64.96,81,22,32.95,AR,1644811657
mormugao,15.4,73.8,76.82,50,10,2.8,IN,1644811658
tiarei,-17.5333,-149.3333,80.62,77,85,15.59,PF,1644811658
krasnokamensk,50.0979,118.0369,-6.52,87,54,3.06,RU,1644811658
ginir,7.1333,40.7,56.82,52,93,3.11,ET,1644811658
korla,41.7597,86.1469,31.84,44,9,1.97,CN,1644811659
basco,20.4487,121.9702,73.94,82,100,30.11,PH,1644811659
acapulco,16.8634,-99.8901,80.42,83,75,3.44,MX,1644811453
freeport,40.6576,-73.5832,27.52,68,100,16.11,US,1644811504
frederikshavn,57.4407,10.5366,42.75,93,100,18.97,DK,1644811659
corrente,-3.7367,-43.3394,71.94,98,100,2.37,BR,1644811660
yaan,7.3833,8.5667,75.42,16,97,5.37,NG,1644811660
muyezerskiy,63.9333,31.65,32.5,96,100,14.0,RU,1644811660
digha,21.6833,87.55,71.08,40,20,7.87,IN,1644811661
araceli,10.5529,119.9913,81.21,73,100,3.91,PH,1644811661
bushehr,28.9684,50.8385,51.89,87,0,4.61,IR,1644811721
sabang,5.8933,95.3214,82.54,72,67,11.65,ID,1644811721
zhangzhou,24.5133,117.6556,58.19,84,98,4.32,CN,1644811722
bonavista,48.6499,-53.1147,28.11,65,100,11.45,CA,1644811722
rundu,-17.9333,19.7667,64.53,92,85,3.6,NA,1644811722
bonthe,7.5264,-12.505,76.55,91,32,5.37,SL,1644811723
athboy,53.6186,-6.9206,41.4,95,99,13.47,IE,1644811723
thanatpin,17.2119,96.3033,78.98,17,22,7.29,MM,1644811723
namibe,-15.1961,12.1522,72.99,86,90,1.1,AO,1644811723
jardim,-21.4803,-56.1381,80.4,46,77,3.33,BR,1644811724
hamilton,39.1834,-84.5333,19.24,79,0,9.22,US,1644811724
inuvik,68.3499,-133.7218,-21.46,98,100,9.35,CA,1644811724
dibulla,11.2725,-73.3091,76.82,79,71,10.51,CO,1644811725
ojinaga,29.5667,-104.4167,51.42,25,0,8.05,MX,1644811725
nhulunbuy,-12.2333,136.7667,90.21,55,40,13.8,AU,1644811715
port keats,-14.25,129.55,89.47,56,84,2.1,AU,1644811725
nuuk,64.1835,-51.7216,5.61,85,75,8.05,GL,1644811726
veracruz,19.3333,-96.6667,60.87,68,99,1.48,MX,1644811550
aklavik,68.2191,-135.0107,-21.55,97,100,11.74,CA,1644811726
upernavik,72.7868,-56.1549,3.83,92,100,29.15,GL,1644811726
sao joao da barra,-21.6403,-41.0511,75.29,91,65,12.8,BR,1644811726
seoul,37.5683,126.9778,49.51,47,100,6.67,KR,1644811611
